1355,Maison d'Arrêt des Hommes ,Rennes,True
1361,Antipode,Rennes,True
1384,Parc des Expositions - Techno Hall,Bruz,True
1387,Espace Bel-Air,Saint-Aubin-du-Cormier,False
1390,Le Cargo,Neufchâtel,False
1410,Le 6 Par 4,Entrammes,False
1413,L'Olympic,Nantes,True
1420,Le Trap,Rennes,True
1440,Le Carmès,Rennes,True
1446,Centre Culturel de Cesson Sévigné,Cesson-Sévigné,False
1457,Espace Cosmao du Manoir,Lorient,False
1458,Le 4 Bis,Rennes,True
1474,Batofar,Paris,True
1483,Ecole de musique Opus 17,Bain de Bretagne,False
1492,Ar Gwez Boell,Saint-Brieuc,True
1492,Théâtre de la Ville,Rennes,False
